date,Rm,CSAD,abs_Rm,Rm_sq,N,CSAD_fitted,residual
2008-10-29,0.0779729924157315,0.0507788388215602,0.0779729924157315,0.0060797875462637,50,0.034900682119208035,0.015878156702352167
2008-10-31,0.0677716746917007,0.0495509405849333,0.0677716746917007,0.0045929998905177,50,0.03218258338978354,0.01736835719514976
2008-11-03,0.0506132499125806,0.0286644799714969,0.0506132499125806,0.0025617010667133,50,0.02758143681996766,0.0010830431515292394
2008-11-04,0.0367687977563376,0.0388713404077078,0.0367687977563376,0.0013519444884464,50,0.02384211444156901,0.01502922596613879
2008-11-05,-0.0328542357892892,0.0304920435221007,0.0328542357892892,0.0010794008092982,50,0.022780462258151998,0.007711581263948702
2008-11-06,-0.0312166060199203,0.0291139911214434,0.0312166060199203,0.0009744764914029,50,0.02233575888558487,0.006778232235858529
2008-11-07,0.0150595438260707,0.0229015579836592,0.0150595438260707,0.0002267898602493,50,0.017930280711215028,0.004971277272444171
2008-11-10,0.0463388303900711,0.0291130801648004,0.0463388303900711,0.0021472872019197,50,0.026429493860093398,0.002683586304707001
2008-11-11,-0.0496605152688863,0.0301862049554485,0.0496605152688863,0.0024661667767712,50,0.027324875647157434,0.0028613293082910655
2008-11-12,-0.0253067692995221,0.0195262388144481,0.0253067692995221,0.0006404325723792,50,0.02072813546132778,-0.0012018966468796792
2008-11-14,-0.0178553224699679,0.0231367050033651,0.0178553224699679,0.0003188125405065,50,0.018694929799961776,0.004441775203403324
2008-11-17,-0.0159144709427262,0.0267240643319914,0.0159144709427262,0.0002532703853868,50,0.01816420814574173,0.00855985618624967
2008-11-18,-0.0353538337138777,0.022861766317045,0.0353538337138777,0.0012498935582685,50,0.023458589052709998,-0.000596822735664998
2008-11-19,-0.0184923899675313,0.0187412693526178,0.0184923899675313,0.0003419684867112,50,0.018869031833372244,-0.00012776248075444321
2008-11-20,-0.0230606901565644,0.0236486791507018,0.0230606901565644,0.000531795430497,50,0.020116000238231218,0.0035326789124705826
2008-11-21,0.0198538358756025,0.034188166938796,0.0198538358756025,0.0003941747989753,50,0.01924092666507794,0.01494724027371806
2008-11-24,-0.0032659040860587,0.0239829901283642,0.0032659040860587,1.0666129499334998e-05,50,0.014693945560128287,0.009289044568235913
2008-11-25,-0.0197857811500698,0.0226579576868173,0.0197857811500698,0.0003914771357184,50,0.019222342227044775,0.003435615459772525
2008-11-26,0.0198662248972052,0.0290952984039896,0.0198662248972052,0.0003946668916663,50,0.019244309806531613,0.009850988597457987
2008-11-27,-0.0001956683512242,0.0003835099683994,0.0001956683512242,3.828610367080706e-08,50,0.013848577438834242,-0.013465067470434843
2008-11-28,-0.0019228081618312,0.0221836395579059,0.0019228081618312,3.6971912272049294e-06,50,0.014324278466062107,0.007859361091843793
2008-12-01,-0.0232097245900136,0.020278255167897,0.0232097245900136,0.0005386913155442,50,0.02015663688364792,0.00012161828424907956
2008-12-02,-0.0125673715564899,0.0220834248824913,0.0125673715564899,0.0001579388278388,50,0.017247844285415734,0.004835580597075565
2008-12-03,0.0106364084088905,0.020660650989264,0.0106364084088905,0.0001131331838407,50,0.01671855077667366,0.003942100212590338
2008-12-04,0.0513123645423763,0.0325839359155784,0.0513123645423763,0.0026329587549297,50,0.027769628642319685,0.004814307273258715
2008-12-05,-0.0153427884988035,0.0191438229357229,0.0153427884988035,0.000235401158919,50,0.01800779299844124,0.0011360299372816587
2008-12-08,0.0180492784332931,0.0189741287150443,0.0180492784332931,0.0003257764519625,50,0.018747940746982668,0.00022618796806163355
2008-12-10,0.0512978768225689,0.041375422922134,0.0512978768225689,0.0026314721665034,50,0.027765729372211532,0.013609693549922471
2008-12-11,0.0021536239008444,0.0221924186488095,0.0021536239008444,4.638095906288679e-06,50,0.01438782310490698,0.007804595543902521
2008-12-12,0.0009641151252427,0.0241365621512825,0.0009641151252427,9.295179747218352e-07,50,0.014060274536252578,0.010076287615029923
2008-12-15,0.0282553075139944,0.0264998045058136,0.0282553075139944,0.0007983624027103,50,0.02153075761088947,0.004969046894924133
2008-12-16,0.0221535379262573,0.0210754705947882,0.0221535379262573,0.0004907792426501,50,0.019868590617610458,0.0012068799771777425
2008-12-17,-0.0220148060499874,0.0291522618119183,0.0220148060499874,0.0004846516854185,50,0.0198307448950185,0.009321516916899798
2008-12-18,0.034774900408083,0.0271779046288844,0.034774900408083,0.001209293698392,50,0.023301597249164228,0.003876307379720171
2008-12-19,0.0133921986803119,0.0199512488577338,0.0133921986803119,0.0001793509854929,50,0.01747379431445256,0.00247745454328124
2008-12-22,-0.0073903737811608,0.019185205322839,0.0073903737811608,5.461762462526898e-05,50,0.015827734101895183,0.003357471220943816
2008-12-23,-0.0274422277276948,0.0185401888368883,0.0274422277276948,0.0007530758626586,50,0.021309537581103977,-0.0027693487442156765
2008-12-24,-0.0149271365029411,0.0206814041378355,0.0149271365029411,0.0002228194041774,50,0.017894042892025355,0.002787361245810145
2008-12-26,-0.020194418749258,0.0164441187962334,0.020194418749258,0.0004078145486203,50,0.019333924601519146,-0.0028898058052857466
2008-12-29,0.0156522001991769,0.018114264766015,0.0156522001991769,0.0002449913710751,50,0.018092454646126716,2.1810119888283908e-05
2008-12-30,0.0208290718178021,0.0128738290674767,0.0208290718178021,0.0004338502327911,50,0.019507181240769656,-0.006633352173292957
2008-12-31,0.0005055885591912,0.0135142850245009,0.0005055885591912,2.556197911850401e-07,50,0.013933965313750355,-0.00041968028924945465
2009-01-02,0.0376520838631798,0.0257667744033951,0.0376520838631798,0.0014176794192399,50,0.024081401816645587,0.0016853725867495145
2009-01-05,0.0240009997982749,0.0238861440630749,0.0240009997982749,0.0005760479913167,50,0.020372344323094854,0.0035137997399800475
